username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
bitcoinconnect,10/30/2019 4:59,0,0,'44 Cats' Jams with Rubie's and Primary Colors http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/7xloP4Lr4o,,,# # # # # # # # # #,1.18933E+18,https://twitter.com/bitcoinconnect/status/1189331057595822080,,
numberonepal,10/30/2019 4:58,1,0,"probably those documents were the ""insurance policy"" that Al Baghdadi had on his US handlers: Hillary Clinton",,,,,,,
numberonepal,10/30/2019 4:58,0,1,Moar Sauce on this,,,,,,,
jax_superdave,10/30/2019 4:55,0,0,So,,,,,,,
DjcurtC,10/30/2019 4:54,1,1,Was limited in the land they could occupie,,,,,,,
wendydcoe,10/30/2019 4:53,0,0,# Baghdadi # BaghdadiDiedLikeADog KARMAhttps://twitter.com/BenKTallmadge/status/1189313926569304071 …,,,# #,1.18933E+18,https://twitter.com/wendydcoe/status/1189329425306935298,,
itsssSilviaa,10/30/2019 4:52,0,0,@ CNN has been running the story of naming or not naming the dog that help bring # Baghdadi down. Well I got a name for you”hero”. Quit trying to expose him lol pic.twitter.com/aA0Vb0gjty,,@,#,1.18933E+18,https://twitter.com/itsssSilviaa/status/1189329235866988545,,
theKhalude,10/30/2019 4:52,0,0,# Obama and # Trump cut off one head of the hydra,,,,,,,
hyggepost,10/30/2019 4:52,0,0,When # President # Donald # Trump announced that a special # operations raid had # culminated in the # death of # Abu Bakr al- # Baghdadi,,,,,,,
HelloMittyKitty,10/30/2019 4:52,0,0,Let's put yet *ANOTHER* # TrumpLIE to rest... # True or # False: Was IS Leader al-Baghdadi Released from US Prison in the # Obama Era? So,,,,,,,
DavieGOP,10/30/2019 4:50,2,5,# makessense # baghdadi # pelosipic.twitter.com/J6hI6J0WpZ,,,# # #,1.18933E+18,https://twitter.com/DavieGOP/status/1189328679727456259,,
Nieczuja_clan,10/30/2019 4:50,0,0,# Military spokesperson gen. Kevin Bergner said that # Baghdadi did not exist at all The media and government has obviously created a cycle of kill-capture-injure of a single person # Russian military has dismissed Trump’s al-Baghdadi speech as propagandahttp://www.renegadetribune.com/isis-leader-al-baghdadi-reported-dead-for-at-least-the-7th-time-in-12-years/ …,,,# # #,1.18933E+18,https://twitter.com/Nieczuja_clan/status/1189328624949837824,,
bitcoinconnect,10/30/2019 4:49,0,0,Trump claimed ISIS leader 'whimpered' in final moments. Top officials don't know where he got that detail http://allexpressnews.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/uXLTuB7MnC,,,# # # # # # # # # #,1.18933E+18,https://twitter.com/bitcoinconnect/status/1189328318614646784,,
bitcoinconnect,10/30/2019 4:48,0,0,Trump claimed ISIS leader 'whimpered' in final moments. Top officials don't know where he got that detail Pre-Order Now! http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/DcDCPt6mZ5,,,# # # # # # # # # #,1.18933E+18,https://twitter.com/bitcoinconnect/status/1189328269151219712,,
bitcoinconnect,10/30/2019 4:48,0,0,Joe Biden ally formally launches super PAC http://allexpressnews.com # benladen # trumpthekidswerecrying # isis # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/RCwo7DnZpN,,,# # # # # # # # # # #,1.18933E+18,https://twitter.com/bitcoinconnect/status/1189328198414286849,,
RealSharonUSA,10/30/2019 4:48,0,0,Does the mole inside # Baghdadi compound receive $25 million reward,,,#,1.18933E+18,https://twitter.com/RealSharonUSA/status/1189328098514362368,,
PlayTheManPod,10/30/2019 4:46,0,0,Camp Bucca,,,,,,,
holodrontz,10/30/2019 4:45,0,0,@ CNN and other smart-alecks go on about how the killing of # Baghdadi and another # ISISleader does not mean # ISIS is finished. Well,,,,,,,
deplorableunum,10/30/2019 4:45,0,0,Wait until the documents are revealed from the recent # Baghdadi raid. Will you apply that same standard to the Democrats in the Obama administration & state department for creating,,,,,,,
Antiwarcom,10/30/2019 4:44,9,5,Camp Bucca,,,,,,,
bitcoinconnect,10/30/2019 4:44,0,0,House resolution outlines public phase of impeachment inquiry,,,,,,,
AMiddleClassGuy,10/30/2019 4:44,1,1,Thanks to President Obama we have ISIS and yes they are not yet defeated but how about an attaboy for POTUS. After all he was the one who defeated the Caliphate and killed its number 1 and 2 leaders. # Baghdadi https://twitter.com/SenSchumer/status/1189308278423130115 …,,,#,1.18933E+18,https://twitter.com/AMiddleClassGuy/status/1189327207010840576,,
bitcoinconnect,10/30/2019 4:44,0,0,Rudy Giuliani attacks Lt. Col. Alexander Vindman,,,,,,,
bitcoinconnect,10/30/2019 4:44,0,0,'Primary Colors' author talks about 'Anonymous' book http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/rderQjumuN,,,# # # # # # # # # #,1.18933E+18,https://twitter.com/bitcoinconnect/status/1189327178707681280,,
dlo629,10/30/2019 4:44,0,0,Because they are... # Baghdadi # ISISChiefBaghdadi # ISIS # ISISleaderDead # Trump2020 # KAG2020pic.twitter.com/LD2aWNFpGu,,,# # # # # #,1.18933E+18,https://twitter.com/dlo629/status/1189327171262664704,,
JaneBeup,10/30/2019 4:43,1,1,It’s all right here,,,,,,,
AK_TWEET,10/30/2019 4:42,1,1,@ realdonaldtrump's withdrawal of troops from # Syria led to the capture & killing of # ISIS chief # AlBaghdadi. As # Baghdadi's head literally exploded,,,,,,,
bitcoinconnect,10/30/2019 4:41,0,0,OMB and State department officials subpoenaed in House impeachment inquiry http://allexpressnews.com # benladen # trumpthekidswerecrying # isis # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/nX0iKMbgnJ,,,# # # # # # # # # # #,1.18933E+18,https://twitter.com/bitcoinconnect/status/1189326356351455232,,
HM75015,10/30/2019 4:41,1,0,# Delusional is putting it Mildly - # Baghdadi- a Real Leader? # Sickening @ NPR @ nprpolitics This is why We Need # Trump2020https://twitter.com/kayskay7/status/1189126905389297664 …,,@ @,# # # #,1.18933E+18,https://twitter.com/HM75015/status/1189326315071164416,,
bitcoinconnect,10/30/2019 4:39,0,0,Donald Trump's history on race makes his 'lynching' comment crystal clear http://allexpressnews.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/86LMDkNQrH,,,# # # # # # # # # #,1.18933E+18,https://twitter.com/bitcoinconnect/status/1189325917199523842,,
DjcurtC,10/30/2019 4:39,0,0,PEOPLE n AMERICA,,,,,,,
bitcoinconnect,10/30/2019 4:38,0,0,Why Mike Pompeo Released More bin Laden Files http://allexpressnews.com # benladen # trumpthekidswerecrying # isis # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/XBqivcrXvR,,,# # # # # # # # # # #,1.18933E+18,https://twitter.com/bitcoinconnect/status/1189325753659379712,,
magi5er,10/30/2019 4:38,2,5,Let’s hope CPC and their contractors and contracted organizations are not in the # Baghdadi files and cables that the US Special forces secured # KinsellaGatehttps://twitter.com/magi5er/status/1189317846196723712?s=21 …,,,# #,1.18933E+18,https://twitter.com/magi5er/status/1189325690103107585,,
magabhamala,10/30/2019 4:37,0,0,Guess who stopped smoking today? # Baghdadi,,,#,1.18933E+18,https://twitter.com/magabhamala/status/1189325482527023105,,
GuardianNigeria,10/30/2019 4:36,2,14,“Just confirmed that Abu Bakr al-Baghdadi’s number one replacement has been terminated by American troops.” https://guardian.ng/news/trump-says-baghdadis-top-replacement-also-terminated/?utm_medium=Social&echobox=twitter_post&utm_source=Twitter#Echobox=1572358341 … # Baghdadi # DonaldTrump,,,#Echobox # #,1.18933E+18,https://twitter.com/GuardianNigeria/status/1189325160203116544,,
RaymondKooyenga,10/30/2019 4:36,0,1,Now I'm not saying that @ realDonaldTrump reads my tweets. All I'm saying is I wrote him a Twitter letter last night asking him to k!ll # Baghdadi's undercover-lover for us and we woke up to it being done. You do the math https://twitter.com/RaymondKooyenga/status/1189073873678913537 …,,@,#,1.18933E+18,https://twitter.com/RaymondKooyenga/status/1189325154855337986,,
_irredeemables,10/30/2019 4:35,0,0,# TheStory Because OBAMA and Co. Made # Baghdadi happened dude. Couldn't have done it without Obama administration and John McCain. # DeepStateTraitors & # QuidProJoe seem really upset # POTUS45 killed him.pic.twitter.com/ogietynaZd,,,# # # # #,1.18933E+18,https://twitter.com/_irredeemables/status/1189325028124438528,,
The_NewArab,10/30/2019 4:35,2,3,A radical # Islamist cleric accused of links with # Al-Qaeda has called the death of infamous # IS leader Abu-Bakr # Baghdadi a 'glorious' event http://ow.ly/aLCG50wWEzu,,,# # # #,1.18932E+18,https://twitter.com/The_NewArab/status/1189324805717286913,,
bitcoinconnect,10/30/2019 4:34,0,0,All About Pets: Halloween is here again Pre-Order Now! http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/iiAEP2bulW,,,# # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189324721579548673,,
bitcoinconnect,10/30/2019 4:33,0,0,Here is Trump's current Cabinet Pre-Order Now! http://ANONYMOUS.vuhere.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/3UVBe0wQU7,,,# # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189324500783058944,,
kmrowe1,10/30/2019 4:33,2,3,# Baghdadi # HeroDogpic.twitter.com/1AI4LgYr6b,,,# #,1.18932E+18,https://twitter.com/kmrowe1/status/1189324371531370498,,
EricBonillo,10/30/2019 4:33,0,3,When I read this I was thinking that Barry was with # Baghdadi when fried ! Hahaha ... confused pic.twitter.com/Dp8OQTcq76,,,#,1.18932E+18,https://twitter.com/EricBonillo/status/1189324282750480384,,
HistoireSecrete,10/30/2019 4:32,1,2,Ca se précise pour # Baghdadi Apres le chien berger belge des forces speciales US ,,,,,,,
comedyproshop,10/30/2019 4:32,0,0,"Just in..how long b4 # Trump says: Allan # Baghdadi is still dead! Just like ""Generalissimo SanFranCisco+Pancho Franco...""! # MattGaetzIsATool # MattGaetzisastool # TrumpBooed @ heyitsopus # LCCS @ StephenAtHome # cdnpoli @ ddale8""",,@ @ @,# # # # # # #,1.18932E+18,https://twitter.com/comedyproshop/status/1189324042463010817,,
bitcoinconnect,10/30/2019 4:31,0,0,Why attorney-client privilege doesn’t apply to Rudy Giuliani and Trump http://allexpressnews.com # isis # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # rudygiuliani # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/dEMJbwvt8M,,,# # # # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189323900758495233,,
southpaw816,10/30/2019 4:31,0,0,# BaghdadiDiedLikeADog # Baghdadi https://twitter.com/sxdoc/status/1189148372466319361 …,,,# #,1.18932E+18,https://twitter.com/southpaw816/status/1189323782365892608,,
BhhagBrian,10/30/2019 4:30,0,1,@ IlhanMN doesn’t want to be on record and probably wouldn’t care if annoying Americans would quit asking her about it. She’s probably still mourning # Baghdadi @ DNC,,@ @,#,1.18932E+18,https://twitter.com/BhhagBrian/status/1189323630104195072,,
bunnyrun1021,10/30/2019 4:30,0,1,Please disregard insensitive press who tried to cheapen your sons death by inflating an unrepentant terrorist ,,,,,,,
EricBonillo,10/30/2019 4:29,0,0,@ NPR so how is the love for # Baghdadi going ? pic.twitter.com/Tl4zkAPtnR,,@,#,1.18932E+18,https://twitter.com/EricBonillo/status/1189323368153145346,,
DolarToday,10/30/2019 4:29,2,4,# EEUU confirmó muerte del líder del Estado Islámico en Siria Abú Bakr Al # Baghdadi http://bit.ly/31QCJ7N # 29Oct,,,# # #,1.18932E+18,https://twitter.com/DolarToday/status/1189323337702559747,,
NotchorChips,10/30/2019 4:27,0,0,# Baghdadi pic.twitter.com/h1BXtQNZ1J,,,#,1.18932E+18,https://twitter.com/NotchorChips/status/1189322956188635136,,
HistoireSecrete,10/30/2019 4:27,0,0,"# Geopolitique # USA # Baghdadi Les  dessous"" de l' opération pour débusquer Baghdadi https://twitter.com/lematindz/status/1189232315865731079 …""",,,# # #,1.18932E+18,https://twitter.com/HistoireSecrete/status/1189322883413270528,,
dkrwilliams,10/30/2019 4:27,0,1,You really just can't fix STUPID!! @ FeleciaForAZ @ realDonaldTrump just brought down the leader of # ISIS # Baghdadi after @ BarackObama released him in 2009. # Resistance is an utter failure & oblivious to facts. Some things & some people just defy all logic.https://twitter.com/RealSaavedra/status/1189300341935919104 …,,@ @ @,# # #,1.18932E+18,https://twitter.com/dkrwilliams/status/1189322847824596992,,
calamur,10/30/2019 4:27,1,0,The latest The Calamur Daily! https://paper.li/calamur?edition_id=a11a7630-faa3-11e9-aad1-002590a5ba2d … Thanks to @ Retributions @ babubasu # metoo # baghdadi,,@ @,# #,1.18932E+18,https://twitter.com/calamur/status/1189322841470197760,,
DjcurtC,10/30/2019 4:26,1,1,@ CNN with @ CuomoPrimeTime,,,,,,,
CamiP934,10/30/2019 4:26,2,2,"AMAZING! Trump Admin Named Historic Operation to Take Out Baghdadi Kayla Mueller"" After Arizona Woman Captured",,,,,,,
bitcoinconnect,10/30/2019 4:25,0,0,Impeachment Rules Say Senate Must Act,,,,,,,
bitcoinconnect,10/30/2019 4:25,0,0,John Oliver Pours Cold Water on Trump's Baghdadi Victory Lap http://allexpressnews.com # benladen # trumpthekidswerecrying # trump # Idlib # bidladen # Baghdadi # LockHimUp # boos # trumpbooed # anonymouspic.twitter.com/4tEot0RjPW,,,# # # # # # # # # #,1.18932E+18,https://twitter.com/bitcoinconnect/status/1189322299213783041,,
LiveOnMBC,10/30/2019 4:24,2,2,People,,,,,,,
bitcoinconnect,10/30/2019 4:24,0,0,As Long as Enemies of the State Keep Dying Before Trial,,,,,,,
winegirl73,10/30/2019 4:24,85,52,This is what the Dimms don’t want to acknowledge.....Yezidi women tortured and raped by Isis # Baghdadi # Trump2020 Death to Rapists pic.twitter.com/zzcRqlnZms,,,# #,1.18932E+18,https://twitter.com/winegirl73/status/1189322072046129152,,
LawOfFaith,10/30/2019 4:23,0,0,❝Fᴏʀ ᴛʜᴇ ᴡᴀɢᴇs ᴏғ sɪɴ ɪs ᴅᴇᴀᴛʜ; ʙᴜᴛ ᴛʜᴇ ɢɪғᴛ ᴏғ Gᴏᴅ 　　ɪs ᴇᴛᴇʀɴᴀʟ ʟɪғᴇ 　ᴛʜʀᴏᴜɢʜ Jᴇsᴜs Cʜʀɪsᴛ ᴏᴜʀ Lᴏʀᴅ.❞ ❦Rᴏᴍᴀɴs 6:23 (KJV) # Baghdadi https://twitter.com/realDonaldTrump/status/1189172468159864832 …,,,#,1.18932E+18,https://twitter.com/LawOfFaith/status/1189321957726142465,,
JodiPowell57,10/30/2019 4:22,1,1,Wrong Susan Rice . Trump had no obligation to inform Osama bin laden of Anything . Osama released the Dog # Baghdadi from Iraq prison . Trump # BaghdadiDiedLikeADog Thank you @ realDonaldTrump # BagdadiDeadpic.twitter.com/eNkOuDoSu7,,@,# # #,1.18932E+18,https://twitter.com/JodiPowell57/status/1189321595673894912,,
minutebol,10/30/2019 4:21,0,0,one can't offer a working solution to a flawed premise (unless by sheer luck). Accepting the obvious changes the outcome of adding one plus one. Accepting that ISIS is a US forces leads to questioning official narrative that # Baghdadi was killed,,,,,,,
BhupeshMoscow,10/30/2019 4:21,0,0,एक दिन किसी ने उस को बताया कि काफिर जान बूझ कर फुटबॉल सूअर की चमड़ी से बनाते हैं और वह अल्लाह के बताये नेक रास्ते पर जिहाद के लिए निकल पड़ा... # Baghdadi # BaghdadiDiedLikeADoghttps://twitter.com/ABPNews/status/1188795869010612224 …,,,# #,1.18932E+18,https://twitter.com/BhupeshMoscow/status/1189321325803900928,,
