username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
LouiseSchiavone,10/30/2019 4:51,0,1,Such an amazing story: “The informant was present during the assault ...he was exfiltrated from the region two days later with his family. The man...is expected to receive some or all of the $25 million U.S. bounty...” # BaghdadiKilled https://www.washingtonpost.com/national-security/islamic-state-turncoat-inside-baghdadis-hideout-critical-to-success-of-raid-officials-say/2019/10/29/e702c2fa-fa86-11e9-ac8c-8eced29ca6ef_story.html …,,,#,1.18933E+18,https://twitter.com/LouiseSchiavone/status/1189328980861739008
Hispantv,10/30/2019 4:49,158,138,El presidente de # EEUU,,,,,
Hispantv,10/30/2019 4:44,12,15,El # Pentágono cuestiona la veracidad de las afirmaciones de # Trump sobre cómo supuestamente murió en # Siria el líder del # EIIL,,,,,
WIONews,10/30/2019 4:30,0,6,IN PICS | The operation to kill Islamic State leader Abu Bakr al-Baghdadi # BaghdadiKilled # ISISleaderDeadhttps://www.wionews.com/photos/how-us-planned-operation-to-kill-islamic-state-leader-abu-bakr-al-baghdadi-258512 …,,,# #,1.18932E+18,https://twitter.com/WIONews/status/1189323527754801155
CamiP934,10/30/2019 4:26,2,2,"AMAZING! Trump Admin Named Historic Operation to Take Out Baghdadi Kayla Mueller"" After Arizona Woman Captured",,,,,
FrankieTF79,10/30/2019 3:06,0,2,Some days @ NSAGov has too much power & should be regulated. Other days,,,,,
SRihae,10/30/2019 2:39,0,0,# Baghdadi # BaghdadiKilled https://twitter.com/dw_turkce/status/1189269385439002625 …,,,# #,1.1893E+18,https://twitter.com/SRihae/status/1189295804571361280
Darkman3500,10/30/2019 1:58,1,3,Does Baghdadi’s Death Mean Re-Election For Trump? # BaghdadiKilled # baghdadiIsDead # BaghdadiDead # BaghdadiDiedLikeADog # Trump2020 # Trump2020LandslideVictory # KAG # KAG2020Landslide # KAG2020LandslideVictory # MAGA # MAGA2020 # PJNET # 1A # NRA # isupport45 # TREND http://thepatriotsource.com/2019/10/29/does-baghdadis-death-mean-re-election-for-trump/ …,,,# # # # # # # # # # # # # # # #,1.18929E+18,https://twitter.com/Darkman3500/status/1189285448755154946
cher12661,10/30/2019 1:49,0,3,@ realDonaldTrump is going to be responsible for getting rid of # Trudeau. And,,,,,
MichellePresc_,10/30/2019 1:33,0,0,@ realDonaldTrump His words..”He was wimpering,,,,,
mrGhost2_,10/30/2019 1:13,2,1,# ISIS newly appointed leader also killed by US troops . # Congratulations # America # BaghdadiDiedLikeADog # ISISleaderDead # BaghdadiKilled pic.twitter.com/42hpqsiYhW,,,# # # # # #,1.18927E+18,https://twitter.com/mrGhost2_/status/1189274108455989248
